SIZE:100, BEST, SELECTIONSORT, 3.95e-05
SIZE:100, WORST, SELECTIONNSORT, 4.36e-05
SIZE:100, AVG, QUICKSORT, 0.0005695
SIZE:100, BEST, QUICKSORT, 0.000337
SIZE:100, WORST, QUICKSORT, 0.0003666
SIZE:100, AVG, BUBBLESORT, 0.0001055
SIZE:100, BEST, BUBBLESORT, 5e-07
SIZE:100, WORST, BUBBLESORT, 0.0001248
SIZE:100, AVG, INSERTIONSORT, 4.07e-05
SIZE:100, BEST, INSERTIONSORT, 1.7e-06
SIZE:100, WORST, INSERTIONSORT, 7.52e-05
SIZE:100, AVG, SELECTIONNSORT, 4.57e-05
SIZE:100, BEST, SELECTIONSORT, 3.94e-05
SIZE:100, WORST, SELECTIONNSORT, 4.24e-05
SIZE:100, AVG, QUICKSORT, 0.0006348
SIZE:100, BEST, QUICKSORT, 0.0003735
SIZE:100, WORST, QUICKSORT, 0.0004053
SIZE:100, AVG, BUBBLESORT, 0.0001193
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001272
SIZE:100, AVG, INSERTIONSORT, 4.02e-05
SIZE:100, BEST, INSERTIONSORT, 2e-06
SIZE:100, WORST, INSERTIONSORT, 7.65e-05
SIZE:100, AVG, SELECTIONNSORT, 4.66e-05
SIZE:100, BEST, SELECTIONSORT, 3.96e-05
SIZE:100, WORST, SELECTIONNSORT, 4.25e-05
SIZE:100, AVG, QUICKSORT, 0.0005951
SIZE:100, BEST, QUICKSORT, 0.0003509
SIZE:100, WORST, QUICKSORT, 0.0003582
SIZE:100, AVG, BUBBLESORT, 0.000115
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001256
SIZE:100, AVG, INSERTIONSORT, 3.68e-05
SIZE:100, BEST, INSERTIONSORT, 1.8e-06
SIZE:100, WORST, INSERTIONSORT, 7.53e-05
SIZE:100, AVG, SELECTIONNSORT, 4.53e-05
SIZE:100, BEST, SELECTIONSORT, 3.96e-05
SIZE:100, WORST, SELECTIONNSORT, 4.52e-05
SIZE:100, AVG, QUICKSORT, 0.0005826
SIZE:100, BEST, QUICKSORT, 0.0003557
SIZE:100, WORST, QUICKSORT, 0.0003678
SIZE:100, AVG, BUBBLESORT, 0.0001126
SIZE:100, BEST, BUBBLESORT, 5e-07
SIZE:100, WORST, BUBBLESORT, 0.0001253
SIZE:100, AVG, INSERTIONSORT, 4.19e-05
SIZE:100, BEST, INSERTIONSORT, 1.8e-06
SIZE:100, WORST, INSERTIONSORT, 8.15e-05
SIZE:100, AVG, SELECTIONNSORT, 4.67e-05
SIZE:100, BEST, SELECTIONSORT, 3.94e-05
SIZE:100, WORST, SELECTIONNSORT, 4.26e-05
SIZE:100, AVG, QUICKSORT, 0.0006325
SIZE:100, BEST, QUICKSORT, 0.0003647
SIZE:100, WORST, QUICKSORT, 0.000372
SIZE:100, AVG, BUBBLESORT, 0.0001126
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001295
SIZE:100, AVG, INSERTIONSORT, 4.26e-05
SIZE:100, BEST, INSERTIONSORT, 1.9e-06
SIZE:100, WORST, INSERTIONSORT, 7.8e-05
SIZE:100, AVG, SELECTIONNSORT, 4.71e-05
SIZE:100, BEST, SELECTIONSORT, 4.07e-05
SIZE:100, WORST, SELECTIONNSORT, 4.58e-05
SIZE:100, AVG, QUICKSORT, 0.0005975
SIZE:100, BEST, QUICKSORT, 0.0003847
SIZE:100, WORST, QUICKSORT, 0.0003571
SIZE:100, AVG, BUBBLESORT, 0.0001205
SIZE:100, BEST, BUBBLESORT, 5e-07
SIZE:100, WORST, BUBBLESORT, 0.0001295
SIZE:100, AVG, INSERTIONSORT, 4.23e-05
SIZE:100, BEST, INSERTIONSORT, 2.2e-06
SIZE:100, WORST, INSERTIONSORT, 7.81e-05
SIZE:100, AVG, SELECTIONNSORT, 4.7e-05
SIZE:100, BEST, SELECTIONSORT, 4.08e-05
SIZE:100, WORST, SELECTIONNSORT, 4.3e-05
SIZE:100, AVG, QUICKSORT, 0.0006136
SIZE:100, BEST, QUICKSORT, 0.0003476
SIZE:100, WORST, QUICKSORT, 0.0003538
SIZE:100, AVG, BUBBLESORT, 0.0001214
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001292
SIZE:100, AVG, INSERTIONSORT, 4.28e-05
SIZE:100, BEST, INSERTIONSORT, 2e-06
SIZE:100, WORST, INSERTIONSORT, 7.8e-05
SIZE:100, AVG, SELECTIONNSORT, 4.73e-05
SIZE:100, BEST, SELECTIONSORT, 4.09e-05
SIZE:100, WORST, SELECTIONNSORT, 4.47e-05
SIZE:100, AVG, QUICKSORT, 0.0005999
SIZE:100, BEST, QUICKSORT, 0.000348
SIZE:100, WORST, QUICKSORT, 0.0003482
SIZE:100, AVG, BUBBLESORT, 0.0001262
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001299
SIZE:100, AVG, INSERTIONSORT, 4.22e-05
SIZE:100, BEST, INSERTIONSORT, 1.8e-06
SIZE:100, WORST, INSERTIONSORT, 7.77e-05
SIZE:100, AVG, SELECTIONNSORT, 4.71e-05
SIZE:100, BEST, SELECTIONSORT, 4.06e-05
SIZE:100, WORST, SELECTIONNSORT, 4.55e-05
SIZE:100, AVG, QUICKSORT, 0.0005826
SIZE:100, BEST, QUICKSORT, 0.0003521
SIZE:100, WORST, QUICKSORT, 0.0003526
SIZE:100, AVG, BUBBLESORT, 0.0001147
SIZE:100, BEST, BUBBLESORT, 5e-07
SIZE:100, WORST, BUBBLESORT, 0.0001341
SIZE:100, AVG, INSERTIONSORT, 4e-05
SIZE:100, BEST, INSERTIONSORT, 1.8e-06
SIZE:100, WORST, INSERTIONSORT, 7.77e-05
SIZE:100, AVG, SELECTIONNSORT, 4.7e-05
SIZE:100, BEST, SELECTIONSORT, 4.09e-05
SIZE:100, WORST, SELECTIONNSORT, 4.64e-05
SIZE:100, AVG, QUICKSORT, 0.000608
